UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
2988,M12988,M,297.9,307.2,1455,32.8,84,0,0,0,0,0,0
2989,M12989,M,298.0,308.4,1467,38.7,115,0,0,0,0,0,0
2990,H12990,H,298.0,308.8,1471,37.6,74,0,0,0,0,0,0
2991,L12991,L,298.0,307.1,1447,33.7,83,0,0,0,0,0,0
2992,H12992,H,298.0,307.7,1427,43.0,244,0,0,0,0,0,0
2993,M12993,M,298.0,309.5,1478,43.4,227,0,0,0,0,0,0
2994,L12994,L,298.1,307.3,1441,44.4,82,0,0,0,0,0,0
2995,L12995,L,298.0,308.1,1568,34.1,243,0,0,0,0,0,0
2996,H12996,H,298.1,305.4,1503,40.9,137,0,0,0,0,0,0
2997,L12997,L,298.0,306.5,1478,40.0,14,0,0,0,0,0,0
2998,L12998,L,297.9,308.1,1493,41.8,236,0,0,0,0,0,0
2999,L12999,L,297.9,309.1,1611,40.8,44,0,0,0,0,0,0
3000,H13000,H,297.9,306.5,1452,39.9,180,0,0,0,0,0,0
3001,M13001,M,297.8,307.9,1373,39.2,81,0,0,0,0,0,0
3002,M13002,M,297.8,307.4,1402,46.6,6,0,0,0,0,0,0
3003,L13003,L,297.7,308.7,1477,34.8,157,0,0,0,0,0,0
3004,M13004,M,297.8,306.6,1548,39.0,77,0,0,0,0,0,0
3005,M13005,M,297.8,308.2,1588,46.5,228,0,0,0,0,0,0
3006,H13006,H,297.7,307.0,1665,35.1,232,0,0,0,0,0,0
3007,H13007,H,297.6,307.9,1574,35.4,29,0,0,0,0,0,0
3008,L13008,L,297.7,307.7,1412,44.4,117,0,0,0,0,0,0
3009,M13009,M,297.6,307.4,1480,31.5,154,0,0,0,0,0,0
3010,L13010,L,297.6,308.1,1284,44.0,48,0,0,0,0,0,0
3011,M13011,M,297.6,307.6,1469,37.1,184,0,0,0,0,0,0
3012,L13012,L,297.6,307.5,1439,42.5,191,0,0,0,0,0,0
3013,L13013,L,297.5,307.2,1269,32.7,100,0,0,0,0,0,0
3014,L13014,L,297.6,307.7,1711,47.1,190,0,0,0,0,0,0
3015,M13015,M,297.5,307.8,1462,32.7,175,0,0,0,0,0,0
3016,L13016,L,297.5,306.5,1289,44.3,168,0,0,0,0,0,0
3017,M13017,M,297.5,307.2,1473,32.9,80,0,0,0,0,0,0
3018,L13018,L,297.5,306.5,1665,50.8,29,0,0,0,0,0,0
3019,L13019,L,297.5,307.4,1691,39.6,209,0,0,0,0,0,0
3020,M13020,M,297.4,306.9,1506,51.7,2,0,0,0,0,0,0
3021,L13021,L,297.5,308.3,1510,35.1,219,0,0,0,0,0,0
3022,L13022,L,297.5,308.1,1623,37.3,36,0,0,0,0,0,0
3023,M13023,M,297.5,306.6,1485,47.3,29,0,0,0,0,0,0
3024,L13024,L,297.5,307.5,1546,31.4,53,0,0,0,0,0,0
3025,L13025,L,297.5,308.2,1584,35.8,212,0,0,0,0,0,0
3026,L13026,L,297.5,307.3,1392,43.0,112,0,0,0,0,0,0
3027,H13027,H,297.4,306.7,1654,33.9,211,0,0,0,0,0,0
3028,M13028,M,297.4,306.3,1412,43.1,85,0,0,0,0,0,0
3029,M13029,M,297.4,308.2,1437,41.0,227,0,0,0,0,0,0
3030,M13030,M,297.4,308.3,1510,30.9,99,0,0,0,0,0,0
3031,L13031,L,297.3,307.1,1594,45.8,84,0,0,0,0,0,0
3032,L13032,L,297.4,308.2,1568,32.4,215,0,0,0,0,0,0
3033,M13033,M,297.4,304.4,1495,44.6,212,0,0,0,0,0,0
3034,L13034,L,297.4,308.7,1528,40.8,134,0,0,0,0,0,0
3035,L13035,L,297.4,307.2,1607,37.3,7,0,0,0,0,0,0
3036,L13036,L,297.3,307.5,1501,33.4,213,0,0,0,0,0,0
3037,L13037,L,297.4,307.0,1419,42.0,85,0,0,0,0,0,0
3038,H13038,H,297.3,308.7,1440,34.8,62,0,0,0,0,0,0
3039,L13039,L,297.2,306.2,1591,47.2,190,0,0,0,0,0,0
3040,M13040,M,297.3,308.7,1419,47.5,191,0,0,0,0,0,0
3041,L13041,L,297.2,307.6,1343,49.9,157,0,0,0,0,0,0
3042,H13042,H,297.2,307.8,1470,41.7,225,0,0,0,0,0,0
3043,L13043,L,297.2,306.9,1492,37.6,92,0,0,0,0,0,0
3044,L13044,L,297.2,305.9,1586,38.2,137,0,0,0,0,0,0
3045,M13045,M,297.2,308.1,1354,37.8,196,0,0,0,0,0,0
3046,M13046,M,297.3,307.6,1535,41.5,48,0,0,0,0,0,0
3047,L13047,L,297.2,308.6,1615,42.6,120,0,0,0,0,0,0
3048,L13048,L,297.3,307.1,1418,47.4,38,0,0,0,0,0,0
3049,L13049,L,297.2,306.8,1508,40.1,33,0,0,0,0,0,0
3050,L13050,L,297.3,308.7,1285,31.6,101,0,0,0,0,0,0
3051,L13051,L,297.3,309.2,1587,37.6,9,0,0,0,0,0,0
3052,L13052,L,297.4,307.4,1580,49.3,8,0,0,0,0,0,0
3053,L13053,L,297.4,306.7,1498,30.7,187,0,0,0,0,0,0
3054,L13054,L,297.4,308.2,1367,44.4,95,0,0,0,0,0,0
3055,M13055,M,297.4,307.1,1567,37.7,132,0,0,0,0,0,0
3056,H13056,H,297.4,308.0,1476,34.7,162,0,0,0,0,0,0
3057,M13057,M,297.3,307.0,1222,42.4,138,0,0,0,0,0,0
3058,L13058,L,297.3,308.9,1578,49.4,41,0,0,0,0,0,0
3059,L13059,L,297.3,306.6,1616,42.0,79,0,0,0,0,0,0
3060,H13060,H,297.3,307.8,1634,38.4,90,0,0,0,0,0,0
3061,L13061,L,297.2,306.7,1372,32.2,147,0,0,0,0,0,0
3062,L13062,L,297.1,306.8,1308,39.4,178,0,0,0,0,0,0
3063,M13063,M,297.1,306.7,1459,32.0,0,0,0,0,0,0,0
3064,M13064,M,297.1,307.8,1552,38.1,217,0,0,0,0,0,0
3065,M13065,M,297.1,308.0,1406,39.6,10,0,0,0,0,0,0
3066,L13066,L,297.1,307.6,1341,25.8,60,0,0,0,0,0,0
3067,L13067,L,297.1,307.0,1572,48.3,78,0,0,0,0,0,0
3068,H13068,H,297.1,307.2,1465,32.6,166,0,0,0,0,0,0
3069,L13069,L,297.1,308.0,1562,38.9,103,0,0,0,0,0,0
3070,M13070,M,297.1,308.1,1502,43.2,47,0,0,0,0,0,0
3071,M13071,M,297.1,304.5,1483,47.9,81,0,0,0,0,0,0
3072,M13072,M,297.1,306.9,1494,35.2,215,0,0,0,0,0,0
3073,L13073,L,297.2,307.0,1464,24.9,27,0,0,0,0,0,0
3074,L13074,L,297.2,307.9,1454,46.5,88,0,0,0,0,0,0
3075,M13075,M,297.2,307.1,1390,32.5,214,0,0,0,0,0,0
3076,H13076,H,297.2,307.9,1548,42.2,74,0,0,0,0,0,0
3077,H13077,H,297.2,306.2,1625,42.5,224,0,0,0,0,0,0
3078,L13078,L,297.2,307.5,1450,20.5,79,1,0,0,1,0,0
3079,L13079,L,297.3,308.2,1687,30.3,35,0,0,0,0,0,0
3080,H13080,H,297.3,305.8,1538,37.2,86,0,0,0,0,0,0
3081,M13081,M,297.2,309.7,1526,24.5,69,0,0,0,0,0,0
3082,H13082,H,297.2,308.4,1566,32.0,106,0,0,0,0,0,0
3083,L13083,L,297.2,307.2,1598,40.7,189,0,0,0,0,0,0
3084,M13084,M,297.2,306.4,1455,39.5,215,0,0,0,0,0,0
3085,M13085,M,297.2,307.1,1555,41.8,229,0,0,0,0,0,0
3086,M13086,M,297.3,307.3,1605,42.7,105,0,0,0,0,0,0
3087,L13087,L,297.3,307.8,1462,29.9,69,0,0,0,0,0,0
3088,L13088,L,297.3,308.8,1500,32.3,9,0,0,0,0,0,0
3089,M13089,M,297.4,306.9,1423,44.6,213,0,0,0,0,0,0
3090,L13090,L,297.4,308.0,1451,49.1,214,0,0,0,0,0,0
3091,L13091,L,297.4,306.1,1465,34.2,4,0,0,0,0,0,0
3092,H13092,H,297.4,307.0,1410,41.6,27,0,0,0,0,0,0
3093,L13093,L,297.4,307.8,1494,44.8,58,0,0,0,0,0,0
3094,H13094,H,297.4,308.1,1533,41.4,136,0,0,0,0,0,0
3095,L13095,L,297.3,306.6,1543,38.5,166,0,0,0,0,0,0
3096,M13096,M,297.3,306.9,1419,36.2,240,0,0,0,0,0,0
3097,H13097,H,297.3,308.8,1439,51.9,250,0,0,0,0,0,0
3098,L13098,L,297.4,308.6,1585,40.6,235,0,0,0,0,0,0
3099,L13099,L,297.4,307.6,1439,42.3,91,0,0,0,0,0,0
3100,L13100,L,297.4,305.2,1582,41.9,61,0,0,0,0,0,0
3101,L13101,L,297.4,309.9,1427,35.1,88,0,0,0,0,0,0
3102,M13102,M,297.4,307.4,1538,40.3,106,0,0,0,0,0,0
3103,H13103,H,297.4,307.1,1575,38.1,37,0,0,0,0,0,0
3104,L13104,L,297.5,307.0,1235,38.0,218,0,0,0,0,0,0
3105,L13105,L,297.5,307.9,1587,41.9,151,0,0,0,0,0,0
3106,L13106,L,297.5,307.9,1630,34.5,191,0,0,0,0,0,0
3107,M13107,M,297.5,308.4,1469,32.8,120,0,0,0,0,0,0
3108,L13108,L,297.5,306.5,1535,43.0,234,0,0,0,0,0,0
3109,M13109,M,297.5,307.1,1416,36.8,170,0,0,0,0,0,0
3110,M13110,M,297.5,309.5,1536,37.9,109,0,0,0,0,0,0
3111,M13111,M,297.5,307.7,1746,28.4,143,0,0,0,0,0,0
3112,L13112,L,297.5,307.3,1280,45.8,65,0,0,0,0,0,0
3113,M13113,M,297.5,306.5,1450,43.1,65,0,0,0,0,0,0
3114,L13114,L,297.4,307.9,1580,44.2,196,0,0,0,0,0,0
3115,L13115,L,297.5,308.5,1626,42.3,45,0,0,0,0,0,0
3116,H13116,H,297.5,308.3,1362,30.9,148,0,0,0,0,0,0
3117,M13117,M,297.5,307.2,1436,41.4,59,0,0,0,0,0,0
3118,L13118,L,297.4,307.8,1442,36.3,137,0,0,0,0,0,0
3119,L13119,L,297.4,309.0,1435,34.2,233,0,0,0,0,0,0
3120,L13120,L,297.4,308.5,1488,43.0,145,0,0,0,0,0,0
3121,L13121,L,297.4,306.7,1357,50.0,89,0,0,0,0,0,0
3122,L13122,L,297.4,304.8,1475,49.0,211,0,0,0,0,0,0
3123,L13123,L,297.4,307.7,1406,43.7,168,0,0,0,0,0,0
3124,L13124,L,297.4,308.2,1493,39.8,163,0,0,0,0,0,0
3125,M13125,M,297.5,306.4,1429,38.7,112,0,0,0,0,0,0
3126,M13126,M,297.5,307.5,1483,34.6,84,0,0,0,0,0,0
3127,M13127,M,297.5,307.3,1396,38.4,65,0,0,0,0,0,0
3128,L13128,L,297.5,307.6,1595,45.5,45,0,0,0,0,0,0
3129,H13129,H,297.5,306.9,1467,50.9,117,0,0,0,0,0,0
3130,H13130,H,297.5,308.8,1501,35.1,224,0,0,0,0,0,0
3131,H13131,H,297.5,307.6,1485,28.0,150,0,0,0,0,0,0
3132,H13132,H,297.5,306.6,1501,36.8,166,0,0,0,0,0,0
3133,H13133,H,297.4,308.3,1500,45.4,94,0,0,0,0,0,0
3134,M13134,M,297.5,306.2,1581,52.4,3,0,0,0,0,0,0
3135,L13135,L,297.4,308.7,1471,47.9,168,0,0,0,0,0,0
3136,M13136,M,297.4,308.4,1428,47.7,2,0,0,0,0,0,0
3137,M13137,M,297.4,308.8,1504,34.9,228,0,0,0,0,0,0
3138,M13138,M,297.4,307.2,1439,35.1,180,0,0,0,0,0,0
3139,M13139,M,297.4,306.9,1493,32.1,119,0,0,0,0,0,0
3140,L13140,L,297.4,307.4,1395,36.0,73,0,0,0,0,0,0
3141,L13141,L,297.3,307.3,1605,45.5,105,0,0,0,0,0,0
3142,H13142,H,297.3,306.6,1422,49.7,95,0,0,0,0,0,0
3143,M13143,M,297.3,306.7,1620,42.1,35,0,0,0,0,0,0
3144,M13144,M,297.3,307.0,1494,38.5,176,0,0,0,0,0,0
3145,L13145,L,297.3,306.2,1586,33.6,26,0,0,0,0,0,0
3146,L13146,L,297.4,308.0,1423,39.3,52,0,0,0,0,0,0
3147,H13147,H,297.4,307.4,1303,41.2,48,0,0,0,0,0,0
3148,M13148,M,297.4,307.1,1335,31.2,210,0,0,0,0,0,0
3149,M13149,M,297.4,306.3,1750,45.5,101,0,0,0,0,0,0
3150,L13150,L,297.5,306.3,1440,37.5,0,0,0,0,0,0,0
3151,M13151,M,297.6,309.5,1610,45.2,217,0,0,0,0,0,0
3152,L13152,L,297.5,306.9,1370,39.9,173,0,0,0,0,0,0
3153,M13153,M,297.5,308.1,1518,41.8,61,0,0,0,0,0,0
3154,L13154,L,297.5,307.7,1535,35.8,204,0,0,0,0,0,0
3155,L13155,L,297.6,304.8,1784,37.9,98,0,0,0,0,0,0
3156,M13156,M,297.5,309.3,1468,43.9,246,0,0,0,0,0,0
3157,H13157,H,297.5,308.2,1429,39.2,65,0,0,0,0,0,0
3158,L13158,L,297.4,306.7,1535,33.4,149,0,0,0,0,0,0
3159,H13159,H,297.4,307.4,1408,40.7,166,0,0,0,0,0,0
3160,L13160,L,297.5,306.3,1541,42.3,219,0,0,0,0,0,0
3161,L13161,L,297.4,309.2,1495,48.2,43,0,0,0,0,0,0
3162,L13162,L,297.4,306.5,1425,46.9,1,0,0,0,0,0,0
3163,L13163,L,297.3,306.8,1549,39.6,202,0,0,0,0,0,0
3164,M13164,M,297.3,306.6,1511,36.7,239,0,0,0,0,0,0
3165,L13165,L,297.4,307.5,1576,38.6,58,0,0,0,0,0,0
3166,L13166,L,297.4,308.7,1665,36.9,228,0,0,0,0,0,0
3167,H13167,H,297.4,309.2,1450,43.0,217,0,0,0,0,0,0
3168,L13168,L,297.4,307.0,1459,46.2,155,0,0,0,0,0,0
3169,M13169,M,297.5,307.8,1365,47.4,217,0,0,0,0,0,0
3170,L13170,L,297.5,307.6,1552,37.5,208,0,0,0,0,0,0
3171,M13171,M,297.4,306.5,1436,36.9,194,0,0,0,0,0,0
3172,L13172,L,297.4,309.8,1535,37.5,13,0,0,0,0,0,0
3173,L13173,L,297.3,308.7,1617,28.4,15,0,0,0,0,0,0
3174,L13174,L,297.3,307.5,1432,32.8,240,0,0,0,0,0,0
3175,L13175,L,297.3,308.9,1453,39.8,50,0,0,0,0,0,0
3176,L13176,L,297.3,308.5,1601,42.3,99,0,0,0,0,0,0
3177,M13177,M,297.3,307.3,1571,42.9,27,0,0,0,0,0,0
3178,H13178,H,297.2,307.5,1560,35.3,219,0,0,0,0,0,0
3179,H13179,H,297.2,308.7,1461,37.1,52,0,0,0,0,0,0
3180,M13180,M,297.2,306.3,1356,38.4,51,0,0,0,0,0,0
3181,L13181,L,297.3,308.9,1429,37.7,115,0,0,0,0,0,0
3182,L13182,L,297.4,307.1,1399,44.1,152,0,0,0,0,0,0
3183,L13183,L,297.4,308.9,1558,32.2,184,0,0,0,0,0,0
3184,L13184,L,297.4,307.4,1528,33.1,8,0,0,0,0,0,0
3185,M13185,M,297.4,307.8,1440,38.2,10,0,0,0,0,0,0
3186,M13186,M,297.4,307.4,1457,31.8,228,0,0,0,0,0,0
3187,L13187,L,297.4,306.9,1548,28.6,106,0,0,0,0,0,0
3188,L13188,L,297.4,307.2,1468,31.0,44,0,0,0,0,0,0
3189,H13189,H,297.3,308.7,1442,38.5,84,0,0,0,0,0,0
3190,M13190,M,297.4,305.1,1698,43.8,1,0,0,0,0,0,0
3191,L13191,L,297.4,306.2,1445,43.9,181,0,0,0,0,0,0
3192,H13192,H,297.4,306.7,1567,49.5,161,0,0,0,0,0,0
3193,H13193,H,297.4,306.3,1539,40.6,169,0,0,0,0,0,0
3194,L13194,L,297.4,308.9,1348,41.4,204,0,0,0,0,0,0
3195,L13195,L,297.4,308.6,1432,38.5,68,0,0,0,0,0,0
3196,M13196,M,297.4,308.0,1582,38.8,138,0,0,0,0,0,0
3197,H13197,H,297.4,306.7,1487,52.5,28,0,0,0,0,0,0
3198,H13198,H,297.4,308.7,1354,41.6,110,0,0,0,0,0,0
3199,L13199,L,297.4,305.8,1539,42.1,91,0,0,0,0,0,0
3200,L13200,L,297.4,309.5,1442,33.1,219,0,0,0,0,0,0
3201,M13201,M,297.4,306.7,1544,42.5,4,0,0,0,0,0,0
3202,M13202,M,297.3,307.1,1769,43.9,19,0,0,0,0,0,0
3203,L13203,L,297.3,306.9,1538,46.7,100,0,0,0,0,0,0
3204,H13204,H,297.3,306.2,1561,43.8,38,0,0,0,0,0,0
3205,M13205,M,297.3,309.3,1475,39.2,201,0,0,0,0,0,0
3206,H13206,H,297.3,308.0,1388,39.0,159,0,0,0,0,0,0
3207,H13207,H,297.3,308.5,1602,39.6,156,0,0,0,0,0,0
3208,M13208,M,297.3,306.0,1439,40.6,193,0,0,0,0,0,0
3209,L13209,L,297.2,307.4,1477,47.6,126,0,0,0,0,0,0
3210,M13210,M,297.2,307.7,1679,46.4,0,0,0,0,0,0,0
3211,L13211,L,297.1,307.4,1466,44.5,211,0,0,0,0,0,0
3212,M13212,M,297.2,306.0,1622,52.2,118,0,0,0,0,0,0
3213,L13213,L,297.2,308.3,1539,24.1,128,0,0,0,0,0,0
3214,M13214,M,297.2,307.3,1445,37.2,3,0,0,0,0,0,0
3215,L13215,L,297.2,306.2,1534,39.9,142,0,0,0,0,0,0
3216,L13216,L,297.2,305.3,1428,36.0,174,0,0,0,0,0,0
3217,L13217,L,297.2,307.8,1590,34.4,157,0,0,0,0,0,0
3218,L13218,L,297.2,309.7,1625,29.7,133,0,0,0,0,0,0
3219,M13219,M,297.3,306.2,1505,38.1,101,0,0,0,0,0,0
3220,M13220,M,297.3,307.5,1634,45.4,128,0,0,0,0,0,0
3221,M13221,M,297.3,308.4,1516,44.6,198,0,0,0,0,0,0
3222,L13222,L,297.3,306.1,1591,35.5,61,0,0,0,0,0,0
3223,L13223,L,297.4,306.9,1795,41.3,191,0,0,0,0,0,0
3224,L13224,L,297.4,306.5,1748,48.1,132,0,0,0,0,0,0
3225,L13225,L,297.4,308.4,1482,30.9,53,0,0,0,0,0,0
3226,H13226,H,297.5,308.8,1529,39.0,48,0,0,0,0,0,0
3227,L13227,L,297.4,307.6,1395,41.7,6,0,0,0,0,0,0
3228,L13228,L,297.4,306.5,1580,40.1,99,0,0,0,0,0,0
3229,L13229,L,297.3,306.9,1539,45.1,2,0,0,0,0,0,0
3230,L13230,L,297.4,306.8,1423,31.0,75,0,0,0,0,0,0
3231,M13231,M,297.3,306.3,1619,34.0,122,0,0,0,0,0,0
3232,M13232,M,297.3,307.2,1473,44.1,188,0,0,0,0,0,0
3233,L13233,L,297.3,307.9,1448,29.8,78,0,0,0,0,0,0
3234,L13234,L,297.4,307.9,1540,44.9,211,0,0,0,0,0,0
3235,L13235,L,297.4,307.4,1453,42.7,168,0,0,0,0,0,0
3236,L13236,L,297.3,307.4,1497,44.5,148,0,0,0,0,0,0
3237,L13237,L,297.3,307.2,1675,37.2,31,0,0,0,0,0,0
3238,H13238,H,297.2,305.9,1439,43.1,11,0,0,0,0,0,0
3239,M13239,M,297.2,307.4,1568,33.0,228,0,0,0,0,0,0
3240,M13240,M,297.2,306.6,1442,37.5,103,0,0,0,0,0,0
3241,L13241,L,297.1,305.8,1403,40.2,110,0,0,0,0,0,0
3242,L13242,L,297.2,307.6,1492,34.6,6,0,0,0,0,0,0
3243,M13243,M,297.2,306.5,1768,41.3,178,0,0,0,0,0,0
3244,M13244,M,297.2,307.4,1578,33.1,172,0,0,0,0,0,0
3245,M13245,M,297.3,308.1,1546,41.6,94,0,0,0,0,0,0
3246,L13246,L,297.3,306.4,1448,50.5,64,0,0,0,0,0,0
3247,M13247,M,297.3,307.4,1462,32.5,187,0,0,0,0,0,0
3248,L13248,L,297.3,305.5,1352,39.9,202,1,0,1,0,0,0
3249,H13249,H,297.2,308.8,1680,30.3,44,0,0,0,0,0,0
3250,M13250,M,297.3,305.9,1527,35.0,33,0,0,0,0,0,0
3251,M13251,M,297.3,306.8,1518,44.2,210,0,0,0,0,0,0
3252,L13252,L,297.3,308.6,1520,37.4,138,0,0,0,0,0,0
3253,M13253,M,297.2,307.0,1709,44.5,224,0,0,0,0,0,0
3254,L13254,L,297.1,305.9,1530,42.1,160,0,0,0,0,0,0
3255,L13255,L,297.0,307.7,1481,39.6,7,0,0,0,0,0,0
3256,L13256,L,297.1,307.8,1680,33.8,44,0,0,0,0,0,0
3257,M13257,M,297.1,306.4,1487,44.1,199,0,0,0,0,0,0
3258,L13258,L,297.1,306.5,1331,41.8,225,0,0,0,0,0,0
3259,L13259,L,297.1,306.7,1347,30.8,103,0,0,0,0,0,0
3260,H13260,H,297.2,307.0,1481,34.2,218,0,0,0,0,0,0
3261,L13261,L,297.2,305.3,1529,23.4,220,0,0,0,0,0,0
3262,M13262,M,297.2,307.0,1582,31.8,77,0,0,0,0,0,0
3263,L13263,L,297.1,308.9,1408,38.1,161,0,0,0,0,0,0
3264,L13264,L,297.2,306.3,1477,33.7,44,0,0,0,0,0,0
3265,M13265,M,297.3,306.7,1419,35.0,122,0,0,0,0,0,0
3266,L13266,L,297.3,306.1,1611,48.3,228,1,0,0,0,1,0
3267,L13267,L,297.3,307.9,1628,46.2,192,0,0,0,0,0,0
3268,M13268,M,297.3,308.5,1696,35.8,200,0,0,0,0,0,0
3269,M13269,M,297.3,308.5,1535,44.8,179,0,0,0,0,0,0
3270,M13270,M,297.3,306.1,1687,47.3,137,0,0,0,0,0,0
3271,L13271,L,297.4,307.9,1431,43.7,221,0,0,0,0,0,0
3272,L13272,L,297.4,308.8,1522,41.8,42,0,0,0,0,0,0
3273,M13273,M,297.3,307.8,1394,46.6,209,0,0,0,0,0,0
3274,M13274,M,297.3,307.8,1557,44.6,80,0,0,0,0,0,0
3275,H13275,H,297.3,306.9,1528,32.7,197,0,0,0,0,0,0
3276,H13276,H,297.4,307.6,1255,38.9,10,0,0,0,0,0,0
3277,H13277,H,297.4,308.6,1611,36.7,215,0,0,0,0,0,0
3278,L13278,L,297.4,307.7,1586,46.9,163,0,0,0,0,0,0
3279,L13279,L,297.4,306.1,1444,36.5,224,0,0,0,0,0,0
3280,M13280,M,297.4,306.9,1528,35.5,224,0,0,0,0,0,0
3281,L13281,L,297.2,308.4,1351,46.2,245,1,0,0,0,1,0
3282,L13282,L,297.2,307.5,1423,41.6,145,0,0,0,0,0,0
3283,H13283,H,297.3,307.4,1667,52.7,190,1,0,0,1,0,0
3284,H13284,H,297.2,306.7,1385,34.8,4,0,0,0,0,0,0
3285,L13285,L,297.2,308.4,1501,36.9,30,0,0,0,0,0,0
3286,L13286,L,297.2,308.8,1360,46.7,15,0,0,0,0,0,0
3287,L13287,L,297.2,308.5,1534,32.3,193,0,0,0,0,0,0
3288,H13288,H,297.2,308.7,1556,47.9,8,0,0,0,0,0,0
3289,H13289,H,297.3,306.9,1572,32.8,1,0,0,0,0,0,0
3290,L13290,L,297.2,306.7,1547,43.7,36,0,0,0,0,0,0
3291,L13291,L,297.2,307.0,1643,28.9,83,0,0,0,0,0,0
3292,H13292,H,297.2,307.2,1445,40.3,186,0,0,0,0,0,0
3293,L13293,L,297.2,308.6,1394,31.8,208,0,0,0,0,0,0
3294,M13294,M,297.1,308.3,1441,51.6,57,0,0,0,0,0,0
3295,H13295,H,297.1,307.6,1365,33.6,216,0,0,0,0,0,0
3296,L13296,L,297.2,305.7,1508,35.0,82,0,0,0,0,0,0
3297,M13297,M,297.1,305.4,1486,43.2,105,0,0,0,0,0,0
3298,L13298,L,297.1,307.4,1548,36.4,135,0,0,0,0,0,0
3299,L13299,L,297.2,308.0,1338,44.2,51,0,0,0,0,0,0
3300,H13300,H,297.2,307.1,1499,35.7,74,0,0,0,0,0,0
3301,L13301,L,297.2,309.1,1621,35.3,204,0,0,0,0,0,0
3302,H13302,H,297.1,306.1,1557,39.8,76,0,0,0,0,0,0
3303,M13303,M,297.1,305.9,1310,32.7,200,0,0,0,0,0,0
3304,L13304,L,297.1,306.4,1499,42.4,68,0,0,0,0,0,0
3305,L13305,L,297.2,306.5,1427,45.3,209,0,0,0,0,0,0
3306,L13306,L,297.2,307.7,1501,43.3,231,0,0,0,0,0,0
3307,L13307,L,297.2,306.8,1462,43.9,124,0,0,0,0,0,0
3308,L13308,L,297.2,305.6,1674,28.5,179,0,0,0,0,0,0
3309,L13309,L,297.2,308.1,1509,37.2,205,0,0,0,0,0,0
3310,L13310,L,297.3,305.5,1532,38.6,33,0,0,0,0,0,0
3311,M13311,M,297.3,306.2,1496,48.7,213,0,0,0,0,0,0
3312,M13312,M,297.3,305.7,1547,36.5,175,0,0,0,0,0,0
3313,M13313,M,297.3,307.5,1478,26.2,96,0,0,0,0,0,0
3314,L13314,L,297.4,307.6,1577,34.0,151,0,0,0,0,0,0
3315,L13315,L,297.4,309.3,1461,36.0,248,0,0,0,0,0,0
3316,M13316,M,297.4,308.4,1638,27.1,246,0,0,0,0,0,0
3317,L13317,L,297.5,308.9,1550,45.8,220,0,0,0,0,0,0
3318,L13318,L,297.5,307.8,1485,30.6,12,0,0,0,0,0,0
3319,H13319,H,297.5,306.5,1584,42.7,248,0,0,0,0,0,0
3320,M13320,M,297.5,307.6,1549,33.4,49,0,0,0,0,0,0
3321,M13321,M,297.5,308.1,1583,49.0,90,0,0,0,0,0,0
3322,L13322,L,297.4,308.2,1509,38.3,192,0,0,0,0,0,0
3323,M13323,M,297.4,307.0,1476,37.1,198,0,0,0,0,0,0
3324,M13324,M,297.4,307.9,1514,43.2,3,0,0,0,0,0,0
3325,M13325,M,297.4,306.5,1450,34.0,63,0,0,0,0,0,0
3326,M13326,M,297.3,306.2,1598,43.5,73,0,0,0,0,0,0
3327,H13327,H,297.4,306.3,1647,37.1,231,0,0,0,0,0,0
3328,M13328,M,297.5,307.5,1558,36.4,226,0,0,0,0,0,0
3329,L13329,L,297.5,306.3,1642,39.5,246,0,0,0,0,0,0
3330,M13330,M,297.5,307.0,1613,33.5,166,0,0,0,0,0,0
3331,M13331,M,297.5,308.4,1473,38.9,250,0,0,0,0,0,0
3332,M13332,M,297.5,306.4,1584,42.0,190,0,0,0,0,0,0
3333,L13333,L,297.5,307.0,1372,26.1,185,0,0,0,0,0,0
3334,L13334,L,297.5,307.5,1519,46.5,248,1,0,0,0,1,0
3335,H13335,H,297.4,307.7,1382,44.9,15,0,0,0,0,0,0
3336,M13336,M,297.5,307.0,1489,28.9,218,0,0,0,0,0,0
3337,H13337,H,297.4,308.2,1356,27.9,83,0,0,0,0,0,0
3338,M13338,M,297.4,308.0,1609,45.1,189,0,0,0,0,0,0
3339,M13339,M,297.4,308.5,1461,44.6,137,0,0,0,0,0,0
3340,M13340,M,297.4,307.3,1591,43.7,108,0,0,0,0,0,0
3341,H13341,H,297.4,306.9,1492,31.4,61,0,0,0,0,0,0
3342,M13342,M,297.5,306.8,1316,51.0,160,0,0,0,0,0,0
3343,M13343,M,297.4,307.7,1452,35.5,198,0,0,0,0,0,0
3344,L13344,L,297.4,307.1,1447,41.4,169,0,0,0,0,0,0
3345,L13345,L,297.5,306.9,1499,41.5,43,0,0,0,0,0,0
3346,M13346,M,297.5,307.1,1651,49.6,173,0,0,0,0,0,0
3347,L13347,L,297.5,306.8,1667,40.8,85,0,0,0,0,0,0
3348,L13348,L,297.5,307.7,1477,42.5,234,0,0,0,0,0,0
3349,L13349,L,297.6,306.2,1374,39.5,80,1,0,1,0,0,0
3350,L13350,L,297.6,307.9,1426,32.8,200,0,0,0,0,0,0
3351,L13351,L,297.6,308.3,1548,26.1,121,0,0,0,0,0,0
3352,L13352,L,297.6,307.0,1489,40.2,103,0,0,0,0,0,0
3353,H13353,H,297.6,309.5,1342,31.5,201,0,0,0,0,0,0
